Job Title,Company,Location,Job Link,Salary
Java Developer,Persistent Systems,Remote,https://in.indeed.com/company/Persistent-Systems/jobs/Java-Developer-3d3312b707c37664?fccid=b90433ed96d63887&vjs=3,"₹4,00,000 - ₹15,00,000 a year"
Part time PHP / CodeIgniter Developer,magnusinfosystems,Remote,https://in.indeed.com/company/magnusinfosystems/jobs/PHP-65fc16a75efa4c61?fccid=92c6323f2feed981&vjs=3,₹200 - ₹400 an hour
HTML Developer,Appening Infotech,Remote,https://in.indeed.com/rc/clk?jk=c193f5ab2cbab230&fccid=cf5eb7b115db97c9&vjs=3,
MCD - Mathematics Question Developers,Wolfram Technical Consulting,Remote,https://in.indeed.com/company/Wolfram-Technical-Consulting/jobs/Mcd-51c0f1f0834476fa?fccid=de142fa0bdb7886e&vjs=3,"₹25,000 - ₹50,000 a month"
"Web Developer (CSS,HTML,Javascript, Wordpress & Tailwind CSS) Remote WFH",Volley Biz-Tech,Remote,https://in.indeed.com/company/Volley-Biz--Tech/jobs/Web-Developer-Wfh-cbbfe0e77fc537d1?fccid=1874e1477f75a6f2&vjs=3,"₹10,00,000 - ₹20,00,000 a year"
ReactJS Developer,Onito Technologies Pvt Ltd,Remote,https://in.indeed.com/company/Onito-Technologies-Pvt-Ltd/jobs/Reactj-Developer-f52bf7b596bac99d?fccid=7cc4c9db628e92f3&vjs=3,"₹4,00,000 - ₹7,20,000 a year"
React Developer,Team Geek Solutions,Remote,https://in.indeed.com/company/Team-Geek-Solutions/jobs/React-Developer-611551c8c02c2be8?fccid=c6c661d813602664&vjs=3,"Up to ₹13,00,000 a year"
Front End Developer,Elife,Remote,https://in.indeed.com/company/Elife/jobs/Front-End-Developer-e65455f3fd8354bf?fccid=3c21c8d5f69933da&vjs=3,
Junior Software Engineer,Tpt Techno Solutions,Remote,https://in.indeed.com/company/Tpt-Techno-Solutions/jobs/Junior-Software-Engineer-f12a81aae83339f5?fccid=83ba09ab3d279371&vjs=3,"₹8,684 - ₹34,136 a month"
Wanted React Developer,Logic Software Solutions Pvt. Ltd.,Remote,https://in.indeed.com/company/Logic-Software-Solutions-Pvt.-Ltd./jobs/React-Developer-463850aa0a5db180?fccid=a00efdad473f1311&vjs=3,"₹20,979 - ₹25,564 a month"
Python Developer,edutinker,Remote,https://in.indeed.com/company/eduTinker/jobs/Python-Developer-07639b6b935f5398?fccid=7dd57a1605fb485d&vjs=3,"Up to ₹10,00,000 a year"
